Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total
0,0,0,0,0,0,0,0,0,0,50.86,0,0,0,0,49.14,0,0,0,Ni50.86Ti49.14,Ni2543Ti2457,NiTi,0.696615542,7.240940448,10.5258,2.024400924,53.37330704,8.58017,8.5,FALSE,,,,,,B19prime,,0.977,,0.977,,,35.3,37.65,-7.15,-35.25,4.75,28.15,-2.375,,,,,96.73,79.02,87.875,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,0,0,0,0,0,0,0,0,0,49.9,0,0,0,0,50.1,0,0,0,Ni49.9Ti50.1,Ni499Ti501,NiTi,0.69778703,7.23314832,10.497,2.0249919,53.2693736,8.61905,8.49,FALSE,3.014,2.874,4.106,4.626,97.18,B19prime,0.925796538,0.963,0.96329809,0.96329809,1.109063355,0.989082703,38.4,38.9,74.1,47.5,86.9,112.5,80.25,,,,,,,,https://doi.org/10.1016/j.msea.2013.02.035,,,100
0,0,0,0,0,0,0,0,0,0,50.59,0,0,0,0,49.41,0,0,0,Ni50.59Ti49.41,Ni5059Ti4941,NiTi,0.696945023,7.238748912,10.5177,2.024718039,53.34407576,8.591105,8.5,FALSE,,,,,,B19prime,,0.97,,0.97,,,34.4,36.5,17.05,-9.75,28.85,51.45,21.9,,,,,128.85,,128.85,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,,,,,,B19prime,,0.969,,0.969,,,56,56,,,,,,,36,36,6.44,,231.84,231.84,https://doi.org/10.1016/j.actamat.2009.05.034,,,100
0,0,0,0,0,0,0,0,0,0,54.8,0,0,0,0,45.2,0,0,0,Ni54.8Ti45.2,Ni137Ti113,NiTi,0.69180756,7.27292064,10.644,2.0063376,53.7998672,8.4206,8.52,FALSE,3.023,2.89,4.1,4.65,97.5,B19prime,0.925947427,,0.959026729,0.959026729,1.113375706,0.988686903,,,,,,,,,,,,,,,https://doi.org/10.1007/BF02658390,,,100
0,0,0,0,0,0,0,0,0,0,49.8,0,0,0,0,50.2,0,0,0,Ni49.8Ti50.2,Ni249Ti251,NiTi,0.69790906,7.23233664,10.494,2.0249676,53.2585472,8.6231,8.48,FALSE,3.02,2.89,4.64,4.13,97.1,B19prime,0.929309994,,0.967003644,0.967003644,1.110154187,0.997635787,,,,,,,,,,,,,,,https://doi.org/10.1007/s11661-009-0166-x,,,100
0,0,0,0,0,0,0,0,0,0,50.8,0,0,0,0,49.2,0,0,0,Ni50.8Ti49.2,Ni127Ti123,NiTi,0.69668876,7.24045344,10.524,2.0244816,53.3668112,8.5826,8.5,FALSE,,,,,,B19prime,,0.975,,0.975,,,36.2,37.55,-1.05,-27.85,11.05,35.15,4.325,,,,,96.7,80.16,88.43,https://doi.org/10.1016/j.actamat.2010.02.019,,,100
0,18,0,0,0,0,0,0,0,0,32,0,0,0,0,50,0,0,0,Au18.0Ni32.0Ti50.0,Au9Ni16Ti25,NiTiAu,0.72145095,7.5193914,10.5,1.713024,78.16937042,9.2666,7.49,FALSE,,,,,,B19,,1.007,,1.007,,,24,24,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2009.05.034,,,100
0,13,0,0,0,0,0,0,0,0,37,0,0,0,0,50,0,0,0,Au13.0Ni37.0Ti50.0,Au13Ni37Ti50,NiTiAu,0.714843742,7.4401049,10.5,1.846744,71.25571197,9.0856,7.86,FALSE,,,,,,B19,,1,,1,,,7,7,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2009.05.034,,,100
0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,50,0,0,0,Au10.0Ni40.0Ti50.0,Au1Ni4Ti5,NiTiAu,0.710879417,7.392533,10.5,1.9096,67.1075169,8.977,8.04,FALSE,,,,,,B19,,0.994,,0.994,,,8,8,,,,,,,,,,,,,https://doi.org/10.1016/j.actamat.2009.05.034,,,100
0,0,0,10,0,0,0,0,0,0,40.5,0,0,0,0,49.5,0,0,0,Cu10.0Ni40.5Ti49.5,Cu20Ni81Ti99,NiTiCu,0.69777635,7.2466764,10.515,1.9733175,53.819592,8.64675,8.22,FALSE,,,,,,B19,,0.999,,0.999,,,,,,,,,,,,,,,,,https://doi.org/10.1007/3-540-31631-0_9,,,100
0,0,0,12.5,0,0,0,0,0,0,37.5,0,0,0,0,50,0,0,0,Cu12.5Ni37.5Ti50.0,Cu1Ni3Ti4,NiTiCu,0.698566875,7.2447825,10.5,1.96,53.886775,8.68,8.14,FALSE,,,,,,B19,,0.992,,0.992,,,11,11,48.85,30.85,41.85,59.85,45.35,,,,,,,103.68,https://doi.org/10.1016/j.actamat.2016.08.065,https://doi.org/10.2320/matertrans1989.31.1050,https://doi.org/10.2320/matertrans1989.31.959,100
0,0,0,15,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,Cu15.0Ni35.0Ti50.0,Cu3Ni7Ti10,NiTiCu,0.69874725,7.246947,10.5,1.947,54.00809,8.693,8.07,FALSE,,,,,,B19,,0.995,,0.995,,,,,,,,,,,,,,,,,https://doi.org/10.1002/adfm.200902336,,,100
0,0,0,11.9,0,0,0,0,0,0,37,0,0,0,0,51.1,0,0,0,Cu11.9Ni37.0Ti51.1,Cu119Ni370Ti511,NiTiCu,0.699865915,7.23533454,10.467,1.96077854,53.738569,8.72143,8.13,FALSE,,,,,,B19,,0.995,,0.995,,,8.6,9.85,67.8,54.6,65.7,76.4,66.125,,,,,,,,https://doi.org/10.1016/j.intermet.2016.01.009,,,100
